parent_asin,title,main_category,categories,features,description,average_rating,rating_number,price,store
B000NKNB4Y,The Experiment - PC,Video Games,Video Games | PC | Games,"Explore every corner of the eerie dilapidated ship scouting the path. | Unlock a powerful story revealed through vivid flashbacks and shocking plot twists. | Guide Lea's actions while confined in the locked operations room, to determine the fate of both characters. | Characters possess independent attitudes, notions and fears -- build trust with them to overcome human and environmental challenges. | Employ high-tech surveillance equipment to solve ingenious puzzles - Ship intranets, 3D rotation cameras, light intensifiers, heat detectors, thermal vision and more","Product description | Ready for an experiment? In Experiment 112, you'll experience innovative-shared adventure across dilapidated ships, sweeping cliffs and across scenic coastlines. Mysteriously, you find yourself in the ship's operations room faced with a highly advanced panel of controls, surveillance monitors, and a wide array of sophisticated technology. As you watch the monitors for other signs of life, you discover a woman, Professor Lea Nichols, in a cabin connected to intravenous tubes. Unable to find a way to communicate with her directly, you realize that you are her only hope. She needs your help to escape her prison and get the medical help she desperately needs. The problem is, an unseen captor too is holding you prisoner. The only way to escape is to help one another. But who are you? Who is she? Why do you control both your fates? Is escape from this floating prison your only goal? | Amazon.com | PC gamers, get ready for the next great Experience in Action and Adventure with | The Experiment | . | Over sweeping cliffs and across scenic coastlines, this innovative shared adventure begins in the bowels of an old, dilapidated ship grounded ashore. Mysteriously, you find yourself in the ship’s operations room faced with a highly advanced panel of controls, surveillance monitors, and a wide array of sophisticated technology. As you scan the monitors frantically searching for answers to what this place is and why you are there, the only signs of life you have come across are a series of strange, curiously hard to identify animals, but then you see her; a woman. | Help Yourself by Helping Her | Professor Lea Nichols is a research scientist in her thirties and could be described as beautiful if the strain of her situation wasn’t so etched into her features. As hard as you try you are unable to communicate with her, but it is clear she is being held captive by someone or something and wants help. The problem is, apparently you too are being held prisoner by an unseen captor. Soon you come to realize that the only way to escape is to help one another. But how and why is it that control over both your fates seems has been placed into your hands? | Use the Tools You Have | If you can discover a way to use the few tools tools you’ve been given (the surveillance system, an Intranet and other technologies) to Watch, Communicate, Search and eventually Take Control, you may both have a chance at escape. But remember that things are not always as they appear, even in the most controlled of experiments. | Full Features | : | Unlock a powerful story revealed through vivid flashbacks and shocking plot twists. | Unlock a powerful story revealed through vivid flashbacks and shocking plot twists. | Each character has independent attitudes, notions, and fears requiring you to build trust with the other character and overcome human and environmental challenges. | Each character has independent attitudes, notions, and fears requiring you to build trust with the other character and overcome human and environmental challenges. | As Lea’s extended eyes and ears, explore every corner of the eerie ship scouting the path ahead for unseen dangers and enemies. | As Lea’s extended eyes and ears, explore every corner of the eerie ship scouting the path ahead for unseen dangers and enemies. | Strategically employ high-tech surveillance equipment to solve ingenious puzzles including: the ship’s Intranet, full 3D rotation cameras, light intensifiers, heat detectors, thermal vision, and even cameras on remote control vehicles.Screenshots Explore the odd creatures.View larger.Attempt to communicate.View larger.Review character histories.View larger.Utilize in-game monitors.View larger.System Requirements:Minimum Requirements:OS:Windows® Vista™/XP Processor Speed:1.5 GHz Pentium® 4, AMD® Athlon® or equivalentRAM:512 MB (1 GB for Vista) or moreVideo:MB Graphics Card, Supporting Vertex and Pixel Shader 1.1, Compatible with DirectX® 9.0cHard Disk Space:1.4 GB of Free Space | Strategically employ high-tech surveillance equipment to solve ingenious puzzles including: the ship’s Intranet, full 3D rotation cameras, light intensifiers, heat detectors, thermal vision, and even cameras on remote control vehicles. | Screenshots | Explore the odd creatures. | View larger | . | Attempt to communicate. | View larger | . | Review character histories. | View larger | . | Utilize in-game monitors. | View larger | . | System Requirements: | Minimum Requirements: | OS:Windows® Vista™/XP Processor Speed:1.5 GHz Pentium® 4, AMD® Athlon® or equivalentRAM:512 MB (1 GB for Vista) or moreVideo:MB Graphics Card, Supporting Vertex and Pixel Shader 1.1, Compatible with DirectX® 9.0cHard Disk Space:1.4 GB of Free Space",3.1,27,8.99,Dreamcatcher
B001ELJEEC,Heroes of Might and Magic V [Download],Video Games,Video Games | PC | Games,Experience new darker heroic fantasy universe in this adventure strategy RPG | 6 campaigns and 30+ missions; cutting-edge technology; 3-D animated world | Deep scalable turned-based battle system for challenging and tactical combats | 80+ different creatures; 200+ skills; storyline with side quests and plot twists | Battle opponents in exclusive Duel mode,"Product Description | Heroes of Might and Magic V is a new opus that adds new adventure of the classic scenarios and gameplay. Dive into the new groundbreaking Might and Magic universe, for the most complete strategy gaming experience ever Exclusive new Duel Mode - Challenge your opponent in fierce battles where only the slyest shall prevail. | From the Manufacturer | Heroes of Might and Magic V | In the renowned Might & Magic universe, demon swarms spread chaos over the land in a relentless assault. The fate of the world is at stake and Heroes from a variety of legendary factions must stand up to defend their causes. Live their fate, lead their forces to victory, and unveil the secret goal of the Demon lords. | Complete strategy experience that includes RPG elements: Six campaigns and over 30 missions, in which players conquer territories, manage cities, recruit armies, and raise and upgrade heroes in a user-friendly, yet deep strategic gaming system. | Complete strategy experience that includes RPG elements: Six campaigns and over 30 missions, in which players conquer territories, manage cities, recruit armies, and raise and upgrade heroes in a user-friendly, yet deep strategic gaming system. | Heroes series for the first time in 3D: A breathtaking 3D animated world will immerse the player in the Might and Magic world like never before. | Heroes series for the first time in 3D: A breathtaking 3D animated world will immerse the player in the Might and Magic world like never before. | Customizable speed of play: Use the original turn-based system, or switch to the new active time battle system for a fast-paced battlefield. | Customizable speed of play: Use the original turn-based system, or switch to the new active time battle system for a fast-paced battlefield. | New, darker, and more sophisticated fantasy universe: Includes all the deep fantasy elements from the original series, but with a more fully realized universe, including six unique factions and over 40 different creatures and spells. | New, darker, and more sophisticated fantasy universe: Includes all the deep fantasy elements from the original series, but with a more fully realized universe, including six unique factions and over 40 different creatures and spells. | Competitive and intense multiplayer: Play five different online modes via hotseat, LAN, or Internet; challenge your friends in furious battles and create your own level with the editor. | Competitive and intense multiplayer: Play five different online modes via hotseat, LAN, or Internet; challenge your friends in furious battles and create your own level with the editor. | System Requirements | Minimum Specifications: | Recommended Specifications: | OS:Supported OS: Windows 2000/XP (only) Processor:Pentium 4 or AMD AthlonTM 1.5 GHzPentium 4 2.4 GHz RAM:512 MB1 GB Hard Drive:2+ GB (+Download File Size 2.5 GB) Video Card:DirectX 9 compliant w/ 64MB RAMDirectX 9 compliant w/ 128MB RAM Input Device:N/A Supported Video Cards at Time of Release:NVIDIA GeForce 4 / FX / 6 / 7 families (GeForce 4 MX NOT supported); ATI Radeon 8500 / 9000 / X families; Matrox Parhelia Heroes of Might and Magic V",3.8,168,,Ubisoft
B000VPRAFM,Gothic Universe - PC,Video Games,Video Games | PC | Games,Follow an incredible story over the course of three intense games | 3D action adventure with over 300 hours of exciting gameplay | Immerse yourself in the most realistic and fascinating game world possible | Liberation or annihilation - the fate of the world of Gothic lies in your hands! | Huge living and breathing environment reacting to the player's actions and creating endless choices of interaction,"Product Description: | The epic story of Gothic, now in one package: Begin your journey as a prisoner of the King, who must find enough magic ore to forge weapons for his army in defense against the Orcs. The mines are set in a large magical sphere and inside this sphere you will start exploring Myrtana's mysteries. Once you've managed to burst the bonds of imprisonment, you will need to explore the island of Khorinis. Willing to do whatever is necessary to banish evil once and for all, defend the people against the Orcish threat and venture deep into subterranean temples. After your escape from the island you didn't find safety: The Orcs have finally conquered Myrtana and enslaved the humans. Barbarians of the icy north and a few fearless rebels are the only resistance. You can either support their efforts or join the Orcish occupation forces. Whatever you decide, the destiny of Myrtana is yours to forge. | Features: | 3D action adventure with over 300 hours of exciting gameplay | 3D action adventure with over 300 hours of exciting gameplay | Immerse yourself in the most realistic and fascinating game world possible | Immerse yourself in the most realistic and fascinating game world possible | Liberation or annihilation: the fate of the world of Gothic lies with you | Liberation or annihilation: the fate of the world of Gothic lies with you | Huge living and breathing environment reacting to the player's actions and creating endless choices of interaction | Huge living and breathing environment reacting to the player's actions and creating endless choices of interaction | Hundreds of weapons, items, spells and artifacts to equip and use | Hundreds of weapons, items, spells and artifacts to equip and use",3.2,41,,Dreamcatcher
B00160TVI0,Xbox 360 256MB Memory Unit (original Xbox 360 console only),Video Games,Video Games | Legacy Systems | Xbox Systems | Xbox 360 | Accessories | Memory,"Save your game progress and transport your Xbox LIVE account | Download content from Xbox LIVE | Download kiosk content at all participating retailers | Requires no setup - Just plug it in, and you can save your favorite games | Xbox 360 holds up to two Memory Units, so you can easily Upgrade to more Storage space","Take your games everywhere you go with eight times the space of the original Xbox 360 Memory Unit. With 256 MB of memory and a keychain carrying case, it's a snap to bring your game saves, Xbox LIVE gamer profiles, Arcade game downloads, and even exclusive kiosk content.",3.9,156,13.44,Microsoft
B001ELJFJG,Baldur's Gate - PC,Video Games,Video Games | PC | Games,"The plot line of the game involves the regions around the cities of Baldur's Gate and Amn | These cities are involved in a plot to destabilize the entire Sword Coast and precipitate a war | Chaos threatens to overwhelm the Sword Coast | The state of Amn is under siege to the south, the High Moor is being overrun in the north, and the region around Baldur's Gate is in turmoil | 5 CDs filled with prerendered backgrounds, compelling music, and gameplay","Product description | The grand saga of a massive gaming experience awaits you in Baldur's Gate! Isometric, top-down view gives a birds eye view of the action 3D height maps for realistic travel over terrain - actually climb stairs, fall into pits, and traverse rocky areas Dynamic full color lighting effects Realistic day to night changes in the lighting of the world Rain, snow, fog, lightning, all occuring in real-time Dynamic changes in character appearance - as you change a character's weapons and armor | Amazon.com | Baldur's Gate | is a near-perfect adaptation of the classic tabletop, role-playing game Dungeons & Dragons. Six separate races and eight core character classes, from which the player can create a completely original character, are available. The game world is well painted, and players are free to explore this wonderfully textured game environment in any way they see fit, all against the backdrop of a thoughtfully conceived and versatile plot. | You begin the game as a young orphan living with your stepfather within the safe confines of a scholarly community. It is a happy and idyllic life until your stepfather is killed and it becomes clear that you are intended to be next. You, as the young protagonist, then set out to discover just what kind of a mess you're in. During the adventure, you recruit a number of personable allies, battle foes, delve into dungeons, trek across wilderness, solve puzzles, and complete a plethora of epic quests that are seamlessly sown into the fabric of the overall plot. The story line unfolds in response to your choices to reveal your character's true identity as well as the nature and motive of your enemies. | If the Lord himself were to ask me what games he should have in his home game collection, the first two words out of my mouth would be | Baldur's Gate | . This 1998 Role-Playing Game of the Year is a masterpiece and the standard by which all such games will be judged for the foreseeable future. Groundbreaking 32-bit graphics, 3-D sound, multiplayer options, and a friendly real-time game engine are blended with a depth of plot in a way that redefines the genre. -- | Joshua B. Coombs | Pros: | Versatile and responsive plot | Versatile and responsive plot | Entertaining character interaction | Entertaining character interaction | Huge game world | Huge game world | Friendly game engine Cons:Nonplayer characters exhibit little free will | Friendly game engine | Cons: | Nonplayer characters exhibit little free will | Nonplayer characters exhibit little free will | Review | Very few computer games based upon Advanced Dungeons & Dragons, the most influential role-playing game system of them all, have been released over the past several years, and those that did make it to retail shelves have been ill-conceived, substandard products. In that context, it's hardly surprising that Baldur's Gate, which many gamers suspected would finally bring AD&D back to the forefront of computer gaming, has been one of the most anxiously anticipated role-playing games ever. | Many role-playing gamers openly expressed their disappointment when developer BioWare Corporation announced that it was adapting AD&D's turn-based gameplay to its proprietary real-time engine. Stats-loving, rule-abiding, Gnoll-stomping AD&D fans obstinately asserted that AD&D just couldn't be successfully adapted into a real-time game engine. Fortunately, BioWare stuck to its game designing instincts, because no computer game has ever done a better job at simulating AD&D. Character creation and development is steadfastly accurate to AD&D second-edition rules, allowing gamers to create characters from six different races, eight core character classes, and eight specialty mage classes and to advance in experience points and character levels as tasks are accomplished and beasties are slain. | Baldur's Gate is set in the Sword Coast region of AD&D's most popular milieu, the Forgotten Realms. Interestingly, although Baldur's Gate is a party-based game, the storyline is based around a single main character, even in the multiplayer version of the game. The main character has grown up in the monk-infested citadel of learning, Candlekeep. Learning of a mysterious, impending threat, the character is forced to flee Candlekeep early on and is constantly assailed by would-be assassins throughout the course of the game. The motivations of your character's enemies are not entirely intuitive, other than their obvious intention to smack your character's head into applesauce, and uncovering the rationale behind the actions of your character's enemies is your main goal in the game. As in games such as Betrayal at Krondor, the main storyline in Baldur's Gate is divided into chapters, during which certain key tasks have to be accomplished by your party in order to advance the plot. While using a chapter structure creates a more story-driven game, it also potentially creates unduly linear gameplay, where the actions of your characters are arbitrarily limited in order to fit within the constraints of the chapter structure. | Freedom to explore within a story-driven game sounds like the best of both worlds, but the plot of Baldur's Gate is advanced almost exclusively through scrolling text and voice-narrated messages that play at the beginning of each chapter and aren't particularly compelling. Nonplayer characters in the game tend to only give your characters simple messages and basic tasks to accomplish. | There are a couple of dozen nonplayer characters capable of joining your player character to create a party of up to six adventurers, and some of the party member NPCs have particularly distinctive personalities. Unlike in most other RPGs, where NPCs are routinely given colorful introductions and backgrounds that ultimately have no impact whatsoever on gameplay, party member NPCs in Baldur's Gate will vigorously pursue their own agendas, even if they are contrary to your own intentions. Continue to act in a manner contrary to a party member's alignment and that character will voice his displeasure and eventually unilaterally leave the party and attack your character. | If you'd prefer to create an entire party yourself, you can do so by starting a multiplayer game and playing it solo. Baldur's Gate is, of course, also the first fairly hard-core RPG that you can play multiplayer, either over the Internet (Gamespy is included with the game, or you can play it over the Heat network) or using a more local connection. Up to six human players can each control a character, with the host of the game deciding which players are given the ability to pause the game, talk to NPCs, spend party gold, or perform any other action that affects other players. Action gamers hoping that Baldur's Gate will satisfy their cravings for a new Diablo will likely be disappointed with the party-based focus of the multiplayer version of Baldur's Gate. | Baldur's Gate sports detailed, isometric graphics displayable in up to 32-bit color if you have a 4MB video card. Most games that use an isometric perspective are actually tile-based, building their landscapes like a giant jigsaw puzzle, pieced together by a series of individually crafted tiles. Since each tile is usually used over and over again, even good tile-based games, like Diablo, tend to eventually give you the overwhelming sense that you've seen it all before, even when exploring new environments in the game. Baldur's Gate, on the other hand, is not tile-based, and features fully rendered backgrounds, and each new area you explore in Baldur's Gate will look different from the others, since it has been uniquely crafted. | Support for Creative Labs' EAX 3D audio is included and used to good effect. The voices of characters echoing in caverns and thunder from the prolific storms in the game often sound as if they are surrounding your party. The musical score is also of high quality, favoring suitably epic orchestral tunes instead of more subtle tracks. The game's interface is particularly well done, always providing you with several ways to get something done. You can choose to control your characters in real-time strategy fashion by dragging a box around them with your mouse, or you can select one of the available preprogrammed formations. | Not everything works perfectly or logically in Baldur's Gate. While the weather effects are well done, the weather in the Sword Coast seems particularly fickle and uncertain as to the season, bombarding your characters with thunderstorms for days, only to be interrupted by a short snowfall, and then to finally return to sunny climes. The font used for most of the text in the game isn't particularly easy to read. The path-finding abilities of your characters are fairly poor in the initial release of the game, requiring you to micromanage your characters as they wander through underground labyrinths. BioWare has already released a beta patch for the game that purports to fix this problem by allowing gamers to choose the number of path-finding nodes relied upon by their characters. The automapping function is excellent, but it would have been great to have been able to annotate the maps. | Of course, some gamers may not like the AD&D system faithfully re-created by Baldur's Gate. In many ways, while playing Baldur's Gate it becomes apparent why the AD&D system has effectively been superseded by better-balanced role-playing systems. Mages, who have to memorize individual spells instead of relying on a more flexible ""manna"" or spell-point system, are still wimps at the beginning of the game and extremely deadly compared with fighters at higher character levels. But those are all problems inherent in the AD&D system, which BioWare has been forced to duplicate in Baldur's Gate. Within the constraints of the AD&D system, the game has been balanced extremely well. Not only is Baldur's Gate easily the best computer adaptation of AD&D ever, it also convincingly returns role-playing games to the forefront of computer gaming. | --Desslock | -- | Copyright ©1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited. | -- | GameSpot Review | See more",3.6,150,50.0,Black Isle Studios
B001EYUWWW,Unreal Tournament III Collector's Edition - PC,Video Games,Video Games | PC | Games,"Detonate your opponent from a distance with theShock Rifle or blast away at close range with the Flak Cannon. Over two dozen weapons and vehicles have been enhanced for maximum killing potential. | Fight side-by-side with or compete against new and returning characters from the Unreal universe, all with enhanced abilities. Enhanced Popular Game Types: Including Deathmatch, Team Deathmatch, Capture the Flag, an all-new Warfare mode. | This is Unreal Tournament like you've never seen it before! The Necris invasion has begun, and your clan was one of the first to be slaughtered. Head to the front lines and join this Epic battle to defend humanity while taking your revenge. | Online Innovations: Unreal Tournament 3 brings back all the award-winning online features of previous Unreal Tournament games, plus seamless loading on servers, improved matchmaking, and co-operative campaign play online. | PC version bundled with the award-winning Unreal Engine 3 Toolset: Build your own levels, game types, and more, or download the latest mods from the massive Unreal community.","Unreal Tournament 3 marks the return of the world's premiere first-person shooter to the PC. Unreal Tournament 3 unleashes the full power of Unreal Engine 3, taking graphics, gameplay, and challenge to a whole new level. Players engage in intense battles with other human players online, or against Unreal artificial intelligence that sets the industry standard. With the most powerful futuristic weapons and vehicles available, this is FPS action at its best!",3.5,40,,Midway
B0041CASX2,Nancy Drew: Shadow at the Water's Edge - PC/Mac,Video Games,Video Games | PC | Games,"Take risks without starting over-the game as action will automatically return the player to the point before a fatal mistake | Play as Nancy Drew in a point-and-click mystery as you prepare to encounter her scariest case to date | Immerse yourself in Japanese culture by learning about origami, tea ceremonies, and calligraphy, and play fun Japanese mini-games such as pachinko and Sudoku | Create custom anime-style avatars for your in-game phone, and use it to take in-game pictures | Choose from two difficulty settings (Jr. or Sr. Detective) to allow players of all skill levels to solve the mystery","Product Description | Traditional Japanese family ryokans (inns) are charming places, but a vengeful ghost is terrifying you and other unsuspecting guests. Is there a shadowy specter haunting the placid inn or is something far more sinister driving away business? | Amazon.com | Nancy Drew: Shadow at the Water's Edge | is the 23rd release in ""Her Interactive's"" popular single player Nancy Drew mystery game series. Compatible with both PC and Macintosh computer platforms, | Shadow at the Water's Edge | finds Nancy and pals Bess and George investigating the haunting of a traditional inn in Kyoto, Japan. Along the way she and players of the game find that things are not quite what they seem. Additional features include immersion via the game into elements of Japanese culture, the ability to use in-game cell phone technology in sleuthing, two difficulty levels and more. | Story and Gameplay | Traditional Japanese family ryokans (inns) are usually charming places, but one such place in the ancient and one-time Imperial capital city of Kyoto is proving to be far from that. Run by the Shimizu family, this ryokan is said to be haunted by a vengeful ghost that is terrifying the unsuspecting guests. | Investigate the mystery of a haunting in old Kyoto. View larger. | Visiting Japan with her best friends, Bess Marvin and George Fayne, as a reward for previous sleuthing duties, Nancy Drew hears of these strange happenings and takes it on herself to dig into this paranormal mystery. Along with the rumor of a ghost she also finds a family torn by a recent death, two sisters with very different attitudes toward the family business, a grandmother firmly rooted in traditional Japanese culture, and more. Is there a shadowy specter haunting the placid inn or is something far more sinister driving away business? Nancy and you are on the case. Gameplay features include point and click movement throughout the game, puzzle-solving, interrogation of characters, Junior or Senior Detective difficulty levels, immersion into aspects of Japanese culture including origami, tea ceremonies and calligraphy, and in-game cell phone functionality that includes photography and the ability to create anime style avatars representing characters. | Key Game Features | Play as Nancy Drew in a point-and-click mystery as you prepare to encounter her scariest case to date | Play as Nancy Drew in a point-and-click mystery as you prepare to encounter her scariest case to date | Immerse yourself in Japanese culture by learning about origami, tea ceremonies, and calligraphy | Immerse yourself in Japanese culture by learning about origami, tea ceremonies, and calligraphy | Create custom anime-style avatars for your in-game phone | Create custom anime-style avatars for your in-game phone | Choose from two difficulty settings (Jr. or Sr. Detective) to allow players of all skill levels to solve the mystery | Choose from two difficulty settings (Jr. or Sr. Detective) to allow players of all skill levels to solve the mystery | Take pictures of possible evidence and play games on your cell phone | Take pictures of possible evidence and play games on your cell phone | Take risks without starting over-the game as action will automatically return the player to the point before a fatal mistake | Take risks without starting over-the game as action will automatically return the player to the point before a fatal mistake | System Requirements | Additional Screenshots",4.0,165,,Her Interactive
B08F1825H1,Atelier Ryza 2: Lost Legends & The Secret Fairy - Nintendo Switch,Video Games,Video Games | Nintendo Switch | Games,"Ryza returns in the lead role, making her the first character in the history of the long-running Atelier franchise to take on the hero role in two successive entries | This all-new adventure, set three years after her heroic efforts in Atelier Ryza: Ever Darkness & the Secret Hideout | This dynamic sequel revolves around Ryza’s journey to the Royal Capital of Ashra-am Baird as she explores ancient ruins while seeking the truth behind the mystery of the lost legends","Ryza returns in the lead role, making her the first character in the history of the long-running Atelier franchise to take on the hero role in two successive entries. This all-new adventure, set three years after her heroic efforts in Atelier Ryza: Ever Darkness & the Secret Hideout. This dynamic sequel revolves around Ryza’s journey to the Royal Capital of Ashra-am Baird as she explores ancient ruins while seeking the truth behind the mystery of the lost legends.",4.8,740,79.99,KT
B09VHL88YR,"8Bitdo PCE 2.4G Wireless Gamepad for PC Engine Mini, PC Engine CoreGrafx Mini, TurboGrafx-16 Mini & Nintendo Switch (PCE Edition)",Video Games,Video Games | Nintendo Switch | Accessories | Controllers,"2.4G wireless gamepad for your PC engine mini, turbografx-16 mini, PC engine coregrafx mini system | Nintendo Switch compatibility with 2.4G USB receiver (included) | Includes 2.4G USB receiver | Lag Free & rechargeable built-in Lithium Ion battery | Includes 2.4G Controller, 2.4G USB receiver and USB cable","Compatibility with PC engine mini, turbografx-16 mini, PC engine coregrafx mini & Nintendo Switch.",4.7,1383,24.99,8Bitdo
B082VX16VJ,DualShock 4 Back Button Attachment - PlayStation 4,Video Games,Video Games | PlayStation 4 | Accessories,Two rear-buttons map-able to any digital button of the controller a dedicated button for remapping back Buttons | An digital screen that shows the currently assigned Buttons ability to save and choose from different pre-sets | Headset pass-through for connecting any 3.5 mm wired headset to the Controller (headset not included),"The Dualshock4 button attachment was designed to deliver more versatility and performance when gaming while maintaining the comfort and feel of the Dualshock4 you've come to love. Two tactile back buttons Designed for comfort and precision to get an edge in your favorite titles. A dedicated button that allows you to remap inputs on the fly so you are always prepared no matter what game you're playing. A high-fidelity OLED display that provides clean cut information around button assignments as well as the ability to save and choose button presets to fit any gaming situation. Compete at your best while experiencing games with crystal clear communication with friends and teammates through the headset Pass through. PlayStation4 system, PlayStation VR and PlayStation Camera are required to experience VR functionality.",4.6,15890,29.9,PlayStation
